date,mean_wave_height,max_wave_height
1982-04-01T00:00:00Z,2.495833322405815,3.0999999046325684
1982-04-02T00:00:00Z,2.569565208061882,3.0999999046325684
1982-04-03T00:00:00Z,1.116666667163372,1.7999999523162842
1982-04-04T00:00:00Z,3.2458333571751914,3.9000000953674316
1982-04-05T00:00:00Z,3.529166648785273,4.5
1982-04-06T00:00:00Z,2.1749999870856604,5.099999904632568
1982-04-07T00:00:00Z,6.2208333015441895,7.099999904632568
1982-04-08T00:00:00Z,4.8583332896232605,6.300000190734863
1982-04-09T00:00:00Z,2.98333332935969,4.300000190734863
1982-04-10T00:00:00Z,1.829166665673256,3.0999999046325684
1982-04-11T00:00:00Z,1.4749999990065892,2.0999999046325684
1982-04-12T00:00:00Z,0.904166671137015,1.2000000476837158
